"","year","seas","index","obs","se_log"
"155",55,1,3,3545070000,0.4
"156",56,1,3,3525880000,0.4
"157",57,1,3,3536000000,0.4
"158",58,1,3,3553680000,0.4
"159",59,1,3,3543360000,0.4
"160",60,1,3,3533130000,0.4
"161",61,1,3,3592680000,0.4
"162",62,1,3,3631900000,0.4
"163",63,1,3,3646650000,0.4
"164",64,1,3,3647520000,0.4
"165",65,1,3,3630160000,0.4
"166",66,1,3,3582490000,0.4
"167",67,1,3,3533530000,0.4
"168",68,1,3,3459480000,0.4
"169",69,1,3,3376760000,0.4
"170",70,1,3,3283730000,0.4
"171",71,1,3,3205520000,0.4
"172",72,1,3,3113170000,0.4
"173",73,1,3,3144930000,0.4
"174",74,1,3,3128800000,0.4
"175",75,1,3,3139570000,0.4
"176",76,1,3,3105770000,0.4
"177",77,1,3,2997630000,0.4
"178",78,1,3,2849840000,0.4
"179",79,1,3,2716050000,0.4
"180",80,1,3,2571790000,0.4
"181",81,1,3,2415110000,0.4
"182",82,1,3,2273200000,0.4
"183",83,1,3,2158740000,0.4
"184",84,1,3,2059060000,0.4
"185",85,1,3,2023640000,0.4
"186",86,1,3,1976870000,0.4
"187",87,1,3,1904200000,0.4
"188",88,1,3,1917640000,0.4
"189",89,1,3,1988980000,0.4
"190",90,1,3,2016030000,0.4
"191",91,1,3,1970710000,0.4
"192",92,1,3,1880440000,0.4
"193",93,1,3,1796920000,0.4
"194",94,1,3,1703830000,0.4
"195",95,1,3,1601100000,0.4
"196",96,1,3,1525110000,0.4
"197",97,1,3,1424410000,0.4
"198",98,1,3,1339510000,0.4
"199",99,1,3,1317710000,0.4
"200",100,1,3,1326180000,0.4
